"disease","date","incidence_rate","value","vaccine"
"HEPATITIS A",1966-01-08,0.32787556073882,641,1995-01-01
"HEPATITIS A",1966-01-15,0.355496902829142,695,1995-01-01
"HEPATITIS A",1966-01-22,0.323272003723766,632,1995-01-01
"HEPATITIS A",1966-01-29,0.390790839944553,764,1995-01-01
"HEPATITIS A",1966-02-05,0.374422637224362,732,1995-01-01
"HEPATITIS A",1966-02-12,0.363169497854231,710,1995-01-01
"HEPATITIS A",1966-02-19,0.367261548534279,718,1995-01-01
"HEPATITIS A",1966-02-26,0.390790839944553,764,1995-01-01
"HEPATITIS A",1966-03-05,0.39999795397466,782,1995-01-01
"HEPATITIS A",1966-03-12,0.350381839479082,685,1995-01-01
"HEPATITIS A",1966-03-19,0.37084209287932,725,1995-01-01
"HEPATITIS A",1966-03-26,0.350381839479082,685,1995-01-01
"HEPATITIS A",1966-04-02,0.33043309241385,646,1995-01-01
"HEPATITIS A",1966-04-09,0.317645434038701,621,1995-01-01
"HEPATITIS A",1966-04-16,0.306392294668569,599,1995-01-01
"HEPATITIS A",1966-04-23,0.329410079743838,644,1995-01-01
"HEPATITIS A",1966-04-30,0.271609863888164,531,1995-01-01
"HEPATITIS A",1966-05-07,0.311507358018629,609,1995-01-01
"HEPATITIS A",1966-05-14,0.337594181103933,660,1995-01-01
"HEPATITIS A",1966-05-21,0.30383476299354,594,1995-01-01
"HEPATITIS A",1966-05-28,0.380560713244434,744,1995-01-01
"HEPATITIS A",1966-06-04,0.263937268863075,516,1995-01-01
"HEPATITIS A",1966-06-11,0.301788737653516,590,1995-01-01
"HEPATITIS A",1966-06-18,0.30383476299354,594,1995-01-01
"HEPATITIS A",1966-06-25,0.276213420903218,540,1995-01-01
"HEPATITIS A",1966-07-02,0.258822205513015,506,1995-01-01
"HEPATITIS A",1966-07-09,0.212786635362479,416,1995-01-01
"HEPATITIS A",1966-07-16,0.250126597817914,489,1995-01-01
"HEPATITIS A",1966-07-23,0.301788737653516,590,1995-01-01
"HEPATITIS A",1966-07-30,0.276724927238224,541,1995-01-01
"HEPATITIS A",1966-08-06,0.283886015928307,555,1995-01-01
"HEPATITIS A",1966-08-13,0.269052332213134,526,1995-01-01
"HEPATITIS A",1966-08-20,0.312018864353635,610,1995-01-01
"HEPATITIS A",1966-08-27,0.271609863888164,531,1995-01-01
"HEPATITIS A",1966-09-03,0.254218648497962,497,1995-01-01
"HEPATITIS A",1966-09-10,0.223528268397604,437,1995-01-01
"HEPATITIS A",1966-09-17,0.273655889228188,535,1995-01-01
"HEPATITIS A",1966-09-24,0.300765724983504,588,1995-01-01
"HEPATITIS A",1966-10-01,0.30127723131851,589,1995-01-01
"HEPATITIS A",1966-10-08,0.30383476299354,594,1995-01-01
"HEPATITIS A",1966-10-15,0.293093129958415,573,1995-01-01
"HEPATITIS A",1966-10-22,0.347824307804052,680,1995-01-01
"HEPATITIS A",1966-10-29,0.369307573874302,722,1995-01-01
"HEPATITIS A",1966-11-05,0.32531802906379,636,1995-01-01
"HEPATITIS A",1966-11-12,0.29871969964348,584,1995-01-01
"HEPATITIS A",1966-11-19,0.366750042199273,717,1995-01-01
"HEPATITIS A",1966-11-26,0.354985396494136,694,1995-01-01
"HEPATITIS A",1966-12-03,0.374934143559368,733,1995-01-01
"HEPATITIS A",1966-12-10,0.374422637224362,732,1995-01-01
"HEPATITIS A",1966-12-17,0.365727029529261,715,1995-01-01
"HEPATITIS A",1966-12-24,0.305369281998558,597,1995-01-01
"HEPATITIS A",1966-12-31,0.310995851683623,608,1995-01-01
"HEPATITIS A",1967-01-07,0.279672094602126,552,1995-01-01
